ban_rate,event,hero,no_bans,no_picks,no_picks_bans,pick_ban_rate,pick_rate,win_rate,attribute
10.10%,The Frankfurt Major 2015,Meepo,10,2,12,12.12%,2.02%,100.00%,Agility
5.05%,The Frankfurt Major 2015,Nyx Assassin,5,7,12,12.12%,7.07%,57.14%,Agility
4.04%,The Frankfurt Major 2015,Invoker,4,5,9,9.09%,5.05%,40.00%,Intelligence
1.01%,The Frankfurt Major 2015,Witch Doctor,1,7,8,8.08%,7.07%,57.14%,Intelligence
6.06%,The Frankfurt Major 2015,Lycan,6,2,8,8.08%,2.02%,0.00%,Strength
4.04%,The Frankfurt Major 2015,Brewmaster,4,4,8,8.08%,4.04%,25.00%,Strength
2.02%,The Frankfurt Major 2015,Magnus,2,6,8,8.08%,6.06%,50.00%,Strength
1.01%,The Frankfurt Major 2015,Timbersaw,1,7,8,8.08%,7.07%,57.14%,Strength
2.02%,The Frankfurt Major 2015,Drow Ranger,2,5,7,7.07%,5.05%,60.00%,Agility
3.03%,The Frankfurt Major 2015,Sven,3,4,7,7.07%,4.04%,25.00%,Strength
1.01%,The Frankfurt Major 2015,Lion,1,6,7,7.07%,6.06%,0.00%,Intelligence
4.04%,The Frankfurt Major 2015,Slark,4,3,7,7.07%,3.03%,0.00%,Agility
1.01%,The Frankfurt Major 2015,Tidehunter,1,4,5,5.05%,4.04%,75.00%,Strength
3.03%,The Frankfurt Major 2015,Natures Prophet,3,2,5,5.05%,2.02%,0.00%,Intelligence
1.01%,The Frankfurt Major 2015,Spectre,1,4,5,5.05%,4.04%,25.00%,Agility
1.01%,The Frankfurt Major 2015,Skywrath Mage,1,4,5,5.05%,4.04%,25.00%,Intelligence
1.01%,The Frankfurt Major 2015,Wraith King,1,3,4,4.04%,3.03%,66.67%,Strength
0.00%,The Frankfurt Major 2015,Luna,0,4,4,4.04%,4.04%,50.00%,Agility
0.00%,The Frankfurt Major 2015,Leshrac,0,4,4,4.04%,4.04%,50.00%,Intelligence
2.02%,The Frankfurt Major 2015,Silencer,2,2,4,4.04%,2.02%,0.00%,Intelligence
0.00%,The Frankfurt Major 2015,Treant Protector,0,4,4,4.04%,4.04%,50.00%,Strength
1.01%,The Frankfurt Major 2015,Venomancer,1,2,3,3.03%,2.02%,0.00%,Agility
3.03%,The Frankfurt Major 2015,Clinkz,3,0,3,3.03%,0.00%,0.00%,Agility
2.02%,The Frankfurt Major 2015,Jakiro,2,1,3,3.03%,1.01%,0.00%,Intelligence
0.00%,The Frankfurt Major 2015,Batrider,0,3,3,3.03%,3.03%,0.00%,Intelligence
2.02%,The Frankfurt Major 2015,Chen,2,1,3,3.03%,1.01%,100.00%,Intelligence
0.00%,The Frankfurt Major 2015,Shadow Demon,0,3,3,3.03%,3.03%,0.00%,Intelligence
1.01%,The Frankfurt Major 2015,Abaddon,1,2,3,3.03%,2.02%,100.00%,Strength
2.02%,The Frankfurt Major 2015,Phoenix,2,1,3,3.03%,1.01%,0.00%,Strength
0.00%,The Frankfurt Major 2015,Axe,0,2,2,2.02%,2.02%,0.00%,Strength
0.00%,The Frankfurt Major 2015,Crystal Maiden,0,2,2,2.02%,2.02%,50.00%,Intelligence
1.01%,The Frankfurt Major 2015,Morphling,1,1,2,2.02%,1.01%,100.00%,Agility
0.00%,The Frankfurt Major 2015,Death Prophet,0,2,2,2.02%,2.02%,50.00%,Intelligence
0.00%,The Frankfurt Major 2015,Weaver,0,2,2,2.02%,2.02%,0.00%,Agility
